,attack_way_asp,ratio,max_asp
0,intentional_attack,0,1.988036304
1,intentional_attack,0.05,2.171856978
2,intentional_attack,0.1,2.260928852
3,intentional_attack,0.15,2.377241028
4,intentional_attack,0.2,2.442218174
5,intentional_attack,0.25,2.571516127
6,intentional_attack,0.3,2.660480014
7,intentional_attack,0.35,2.88883813
8,intentional_attack,0.4,3.192571947
9,intentional_attack,0.45,3.777576033
10,intentional_attack,0.5,3.514328247
11,intentional_attack,0.55,3.621653085
12,intentional_attack,0.6,3.657749803
13,intentional_attack,0.65,3.809176841
14,intentional_attack,0.7,4.059918409
15,intentional_attack,0.75,1.95676173
16,intentional_attack,0.8,2.268068331
17,intentional_attack,0.85,2.414956012
18,intentional_attack,0.9,1.261538462
19,intentional_attack,0.95,1.071428571
20,intentional_attack,1,1
21,random_attack,0,1.988036304
22,random_attack,0.05,2.002907536
23,random_attack,0.1,1.985481672
24,random_attack,0.15,1.99203855
25,random_attack,0.2,2.063178844
26,random_attack,0.25,2.003134796
27,random_attack,0.3,2.006891303
28,random_attack,0.35,1.967761194
29,random_attack,0.4,2.142865446
30,random_attack,0.45,2.062967496
31,random_attack,0.5,2.055909354
32,random_attack,0.55,2.157726501
33,random_attack,0.6,1.99067345
34,random_attack,0.65,2.288084703
35,random_attack,0.7,2.250164438
36,random_attack,0.75,2.252424331
37,random_attack,0.8,2.121483376
38,random_attack,0.85,2.133236785
39,random_attack,0.9,1.802564103
40,random_attack,0.95,2.059288538
41,random_attack,1,1.387096774
